id	nv	ru	en
1698	ӿамуд	"размягчаться, становиться мягким"	
1699	ӿанон	"затем, тогда  "	
1700	ӿаӈ	рябчик	
1701	"ӿапт, ӿапд, ӿаплад"	1. быть солёным; 2. солёный	
1702	ӿара	частица и	
1703	"ӿapӈи, ӄ’aӽтap"	гагара (небольшая) 	
1704	"ӿарор̆, ӿатот"	"потом, после "	
1705	ӿар̆ӄ	"1) высушенный позвоночник рыбы; 2) амур, амурчик (рыба)"	
1706	"ӿас, чaӈ"	вешала для просушки  юколы	
1707	ӿаскуд	уменьшать	
1708	ӿаскур̆	мало	
1709	ӿатӽ	"оболочка, скорлупа, шелуха, чешуя, кожура; ракушка (пустая)"	
1710	ӿаӽтуд	резать	
1711	ӿаӽтур̆	доска (хозяйственная для резки пищи)	
1712	ӿеӻад	"бояться, пугаться, испытывать страх"	
1713	ӿеӻала	"страшный, опасный "	
1714	"ӿеғми, хеми"	1. висок; 2. височный 	
1715	"ӿeсӄр̆, ӄор̆ӄор̆"	горло	
1716	"ӿеўд, пер̆ӄт, пер̆ӄад"	1. быть кривым; 2. кривой	
1717	ӿеўӈи	1. ольха; 2. ольховый 	
1718	ӿив	берёста	
1719	ӿивр̆	тыльная сторона руки  	
1720	ӿивс	1. берёза; 2. берёзовый 	
1721	ӿиғр̆	желудок (животного) 	
1722	ӿилмд	"полыхать, гореть вспышками"	
1723	ӿилмс	1) мундштук; 2) пепел	
1724	ӿилх	ЯЗыК (орган в полости рта)	
1725	ӿимӈ	СТЛаНИК (кедровый)	
1726	ӿирма	вымоченная юкола (блюдо)	
1727	ӿир̆к	вошь	
1728	ӿир̆куд	заарканивать животное	
1729	"ӿир̆кур̆, потя, к’узи"	петля (ловушка для пушных зверей)	
1730	ӿиск	1) крапива; 2) нить из крапивы	
1731	ӿискр̆	гнида	
1732	ӿитруд	дразнить (кого-л.)	
1733	ӿиўд	добывать (зверя)	
1734	ӿиўлак	добытчик	
1735	ӿиўлаф	медвежья берлога	
1736	"ӿиўсо, ветьӄ"	кета-зубатка (позднеосенняя)	
1737	ӿой	таймень (рыба)	
1738	ӿойӈи	смородина (чёрная)	
1739	ӿоклӿоклд	1. хромать; 2. хромой	
1740	"ӿолу, ӿоло, лaӄр̆"	белка	
1741	ӿома	остаток; часть	
1742	ӿонтӄ	"1) кисет; 2) мешок, сумка, КУЛЬ"	
1743	ӿонф	1. весна; 2. весенний	
1744	ӿоньӻад	"пустой, порожний"	
1745	ӿорлад	быть вкусным	
1746	ӿорла	вкусный	
1747	ӿуд	"мест. указ. этот, эта, это"	
1748	ӿузус	везде	
1749	ӿузустоӽ	во все стороны	
1750	ӿуйвуд	"запоминать; помнить, вспоминать"	
1751	ӿукрӿухр̆	отовсюду	
1752	ӿумбат	"назавтра, на следующий день"	
1753	"ӿундид, ӿудид"	"1) оставить, сохранить, приберечь; 2) положить поблизости (что-л.)"	
1754	"ӿунмд, ӿунвд"	"1) жить, существовать; 2) находиться"	
1755	ӿунмф	1) местожительство; 2) быт; 3) жизнь	
1756	"ӿуньд, ӄмазнд"	болезнь (обычно глаз)	
1757	"ӿуньф, синдух"	бочка	
1758	ӿупр̆	повязка	
1759	ӿупт	сесть	
1760	ӿуру	"редкий лес, редколесье "	
1761	ӿуръюд	"шуметь, гудеть (об огне, ветре, дожде)"	
1762	ӿус	здесь; там	
1763	ӿухт	халат (из ткани) 	
1764	"ӿы, ӿыӈга"	частица утв. да 	
1765	"ӿыйк, ӿaйӈ, оск"	1. заяц; 2. заячий 	
1766	ӿымӈ	КОЛЧаН	
1767	ӿыр̆кт	1. быть низким; 2. низкий 	
1768	ӿыты I	"середина, центр "	
1769	ӿыты II	впереди	
1770	ӽавуд	"греть, согревать "	
1771	ӽад I	1) быть едким; 2) быть прогорклым	
1772	ӽа	1) едкий; 2) прогорклый	
1773	ӽад II 	стрелять	
1774	"ӽaзaӈ, ӽaзӈ"	ножницы	
1775	"ӽазд, ӈeд"	"ругать, бранить "	
1776	ӽар̆ӄавд	1) царапать (наносить царапины); 2) чесать (скрести при ощущении зуда) 	
1777	ӽар̆ӄавф	"царапина, ссадина "	
1778	ӽаў	пушка	
1779	ӽаўд	"звать, называть, именовать (кого-л.)"	
1780	"ӽаўлус, ӽаўзул"	бумага	
1781	ӽовд	"свёртывать, скатать, сложить; свер­нуться, скататься, сложиться"	
1782	ӽод	"выТащить (сеть), убрать (ловушку)"	
1783	ӽозд 	"подпирало (специальное приспособ­ление, чтобы лежащий ребёнок не упал) "	
1784	ӽойр̆	дикий голубь 	
1785	ӽоӄод	просеивать	
1786	ӽонь	1. баран; 2. бараний	
1787	ӽотоӈ	1. город; 2. ГОРОДСКОЙ	
1788	чаврд	быть серым (о масти живот­ного)	
1789	чавр	серый	
1790	"чавӽ, р̆авӽ"	1. якорь; 2. якорный 	
1791	чавчавд	1) хлюпать (издавать хлюпаю­щие звуки); 2) плескаться (о рыбе)	
1792	"чавчавуд, чавчавунд"	быть мокрым	
1793	чавчаву	мокрый	
1794	чай	чай	
1795	чайвань	чайник	
1796	"чaӄ, веӻл"	острога-трезубец 	
1797	чaӄмд	чавкать	
1798	чaӄр̆	бельмо	
1799	чалм	ладонь	
1800	чалу	туман	
1801	чалуд	покрываться туманом 	
1802	чам лоӈ	февраль	
1803	чaмӈ I	1. шаман; 2. шаманский 	
1804	чaмӈ II	1. орёл; 2. орлиный 	
1805	чамрах	железный наконечник остроги	
1806	"чaӈ, ӿас"	вешала для просушки юколы	
1807	"чаӈд, т’леўланд "	быть белым (о масти животного)	
1808	"чаӈ, т’леўла"	белый	
1809	чап	каменный брусок (для точки тон­ких лезвий)	
1810	"чапр̆, ӄ’oвр̆"	"черпак, ковш (для питья)"	
1811	чарб	1. шёлк; парча; 2. шёлковый; парчовый	
1812	чард	наполниться (чем-л.) 	
1813	"чари алр̆, т’ыик"	голубика (ягода) 	
1814	чарлоӈ	полнолуние	
1815	час	1. час; 2. часовой 	
1816	чати	1. 1) колодец; 2) прорубь; 2. колодезный	
1817	чатьф	"1. болото, топь; 2. болотный"	
1818	чаф	"точило, брусок "	
1819	чафӄ	ПаЛОЧКИ ДЛЯ еДы	
1820	чаӽ	1. вода; 2. водяной 	
1821	"чаюнд, чаўнд айд "	совершать обряд 	
1822	чевд	"вонзаться, втыкаться (во что-л.)"	
1823	чед	поёт (о птице) 	
1824	чи	ты	
1825	чин	вы	
1826	чиӈрд	"МУЧИТЬСЯ, страдать "	
1827	чир	гора (безлесная) 	
1828	"чир алр̆, мағр алр̆, пaӻлaӈ алр̆"	1. брус­ника (ягода); 2. брусничный	
1829	чирд	1) быть новым; 2) быть свежим	
1830	чир	1) новый; 2) свежий	
1831	чир латф	новостройка	
1832	чирлоӈ	новолуние	
1833	чиск	1. войлок; 2. войлочный 	
1834	"чмад, чманд"	"ходить в гости, навещать (кого-л.)"	
1835	чмаўзд	угощать (кого-л. чем-л.) 	
1836	чмаўс	угощение	
1837	"чмыр̆, уски"	"1) плата; 2) цена, расценка"	
1838	чӈай	"1) изображение, картина, рисунок; 2) фотография"	
1839	чӈыр̆	1. трава; 2. траВЯНОЙ	
1840	чо	рыба	
1841	чоӻ I	"1) группа; 2) стадо, табун; 3) стая"	
1842	чоӻ II	клык	
1843	чоӻд	1) таять; 2) раСТВОрИТЬСЯ (в жидкости)	
1844	чоӻ	1) талый; 2) раСТВОрИМЫЙ	
1845	чозд	страдать раССТрОЙСТВОМ желудка	
1846	чойир̆	грудина (медведя)	
1847	чолад	быть бедным	
1848	чола	бедный	
1849	чолак	бедняк	
1850	чомрд	высвобождаться из ошейника	
1851	чоӈи	муха	
1852	чoӈск	1. хорёк; 2. хорьковый 	
1853	чотик	"рыбка, рыбёшка "	
1854	"чоӽ, ӈaр̆"	"1) кровь; 2) сок растений, ягод; 3) древесная смола"	
1855	"чу I, ваймук"	"1. семейство, семья; 2. семейный"	
1856	чу II	фарватер	
1857	чуғд	"ВЫСКаЛЬЗЫВаТЬ, выскакивать (откуда-л.)"	
1858	"чуғных, чуғӈи "	1. морж; 2. моржовый	
1859	чуд	"заживать, зарубцовываться (о ране)"	
1860	чумс	"разрезанная, распластанная (без головы и костей) рыба, которую пекут на вертеле у костра "	
1861	чуӈмы	ЧУМ	
1862	чуп	нет	
1863	ЧУПғИр	СОВСеМ	
1864	чуптоӽ	"совершенно, окончательно "	
1865	чупӿад	отсутствовать (продолжительное время)	
1866	чур̆	прямо	
1867	чухт	1. газ; 2. газовый 	
1868	чухчуғд	совершать религиозный обряд с жертвоприношением	
1869	чхевд	скручиваться	
1870	чхевр̆	червь	
1871	"чхевр̆ӈай, тьхевр̆ӈай"	гусеница	
1872	"чхуйғур̆, чхуйғыр̆, кикун"	филин	
1873	чхуф 	кулак (кисть руки с сжатыми пальцами)	
1874	чхывр̆	бровь	
1875	чхыф	1. медведь; 2. медвежий 	
1876	чӽа	деньги	
1877	чӽад	"1. стоить (о стоимости чего-л.); 2. стоимость, цена (чего-л.)"	
1878	чӽайр̆	морская звезда 	
1879	чӽар̆	"1) дерево; 2) дрова, поленья "	
1880	чӽасиф 	"кошелёк, бумажник "	
1881	чымғи 	черника (ягода) 	
1882	ығрд	быть чёрным (о масти животного)	
1883	ығых	ШИКШа (ягода) 	
1884	ызӈ I 	хозяин	
1885	ызӈ II 	косатка (морское животное) 	
1886	ыкид	"быть плохим, скверным"	
1887	ыкила	"плохой, скверный "	
1888	"ылвд, ылвыд "	"делать крышу, навес "	
1889	ылвыр̆	"крыша, навес"	
1890	ылы	лук (огородное растение)	
1891	ымк	мать	
1892	"ыныя, ыныё"	"межд. ой (при выражении чувства восхищения, радости, удивления)"	
1893	ыӈг	КЛЮВ	
1894	ырӈ	"время, период"	
1895	ыр̆к	ночь	
1896	"ыр̆кыр̆, муспи"	берег	
1897	"ыр̆ты-ыр̆ты, к’р̆ўғру"	"постоянно, регулярно, изо дня в день"	
1898	ыск	камбала (с игольчатой чешуёй)	
1899	ыт	селезень (самец-утки)	
1900	ытиксо	карась (рыба)	
1901	ытк	отец	
1902	"ытьх, ычх"	дед	
1903	э I	направление	
1904	э ӿес	в сторону от берега	
1905	э ӄос	В сторону берега	
1906	э II	"гребень, расчёска"	
1907	эвд	1) брать; держать; 2) получать	
1908	эвр̆ӄ валад	быть жёлтым	
1909	эвр̆ӄ вала	жёлтый	
1910	эғд	"возвращаться К ЖИЛЬЮ, дому"	
1911	эғнад	мазать	
1912	эғрод	вешать (что-л. на что-л.)	
1913	эғр̆кыд	1. быть грязным; 2. грязный	
1914	эӻаӈ	1. корова; 2. коровий	
1915	"эӻгур̆, эӄор̆, п’ова"	"сразу, быстро, немедленно"	
1916	эӻд	1) рожать (о животном); 2) нести яйца (о птице)	
1917	"эӻеӻд, эӽеӻд"	КаШЛЯТЬ	
1918	"эӻзд, эӻзид"	"1) грызть; глодать, обгладывать; 2) беспокоиться, переживать"	
1919	"эӻлӈ, оӻла"	"1. 1) ребёнок, дитя; 2) сын; 3) дочь; 4) внук; 2. детский"	
1920	"эӻӈавд, эӽӈавд "	"смеяться, ХОХОТаТЬ"	
1921	эӻрад	"продырявить, пробить"	
1922	эдр̆	лев	
1923	"эзӻойд, зуд"	"1) МЫТЬ, умывать; 2) стирать"	
1924	эзмуд	"1) любить (кого-л.); 2) испытывать чувство симпатии, расположения, привязанности (к кому-л.)"	
1925	эзмулад	"1) быть любимым, дорогим, близким; 2) быть радостным"	
1926	эзмула	"1) любимый, дорогой, близкий; 2) радостный"	
1927	эзмулак	любимец	
1928	эзмур̆кир̆	"с радостью, с удовольствием"	
1929	эзровд	"прибивать, приколачивать"	
1930	эзрод	взбираться на дерево	
1931	экт	просить (обращаться с просьбой)	
1932	эӄт	клевать (о рыбе)	
1933	элвгур̆	"скверно, подло; позорно, недостойно"	
1934	элвд	"1) быть скверным, позорным; быть подлым, недостойным; 2) быть злым; 3) быть суровым"	
1935	элвла	"1) скверный, позорный; подлый, недостойный; 2) злой; 3) суровый"	
1936	"элӈад I, к’ырд"	неводить (ловить рыбу неводом)	
1937	элӈад II	"бранить, ругать "	
1938	элӈф	"место, где совершалось жертво­приношение морю после добычи тюленей"	
1939	эмань	1. козёл; 2. козлиный	
1940	Эмӄт	"1) отрезать; 2) сломать, разломать"	
1941	Эмӄф	надрез	
1942	эмраӈид	"ВЫГОНЯТЬ, ИЗГОНЯТЬ, ПрОГОНЯТЬ"	
1943	"эмр̆, ёӽ"	"1) жена младшего брата, невестка; 2) жена СыНа, невестка"	
1944	"эмс, эмз, ӈaғc, ӈағзыр̆"	зуб	
1945	ығы ӈaғc	передний зуб	
1946	эмс ӈaғc	коренной зуб	
1947	ӄоӄр̆ ӈaғc	нижний зуб	
1948	к’икр̆ ӈaғc	верхний зуб 	
1949	"энагур̆, энагут"	"иначе, по-другому, по­-иному"	
1950	"энад, энанд"	"1) быть другим, иным; 2) быть чужим (принадлежащим дру­гому); 3) быть посторонним (не род­ным); 4) быть пришлым, чужеземным, иноземным"	
1951	эна	"1) другой, иной; 2) чужой (принадлежащий другому); 3) посторонний (не родной); 4) приш­лый, чужеземный, иноземный"	
1952	энӻарк	"чужеродный (о родственнице, которая вышла замуж и ушла в чу­жой род) "	
1953	энф	иное место 	
1954	энь	"камусные ЛыЖИ (обшитые нерпичьей, лосёвой или оленьей шкурой)"	
1955	эньӄӈард 	"воровать, красть, грабить "	
1956	эньӄӈарнивӈ 	"вор, грабитель "	
1957	"эньлаўд, инлуд"	"нырять, погружаться в воду с головой"	
1958	эньӈаўд	"1) задевать, затрагивать; 2) бес­покоить, тревожить"	
1959	эӈвд	цвести	
1960	эӈв	цветущий	
1961	эӈвк	цветок	
1962	"эпкўр, эпкут"	"тайно, секретно "	
1963	эпт	"таить, скрывать (держать в тайне, в секрете)"	
1964	эрвайд	плевать (на что-л.) 	
1965	эрӻад I	"стоить (о цене, соответствую­щей стоимости товара)"	
1966	эрӻад II	"справляться (с кем-, чем-л.), оси­ливать (что-л.) "	
1967	эрӻопт	"1) трогать, шевелить, двигать, ВОРОШИТЬ (что-л.); 2) беспокоить, тре­вожить, волновать (кого-л.); 3) драз­нить, придираться "	
1968	эрд	1. быть зеркальным; 2. зеркальный	
1969	"ЭрӈИ, тай алр̆, ӈоpӈ алр̆"	морошка (яго­да)	
1970	эр̆ӄӈ	"сторона (направление, пространство)"	
1971	эр̆ӄт	"давить, прижимать "	
1972	эсӄад	"не любить, не хотеть (чего-л.) "	
1973	эспт	"колоть, пронзать "	
1974	эт	лыжня	
1975	эть	плоское деревянное блюдо 	
1976	эўр̆	поясница	
1977	"эӽӈавд, эӻӈавд"	"смеяться, хохотать"	
1978	"ю, фисаӽ"	роса	
1979	юғд	"1) ВХОДИТЬ; 2) попадать; 3) вступать, включаться; 4) опускаться, садиться (о небесном светиле); 5) впадать (о ре­ке, ручье) "	
1980	"юйвуд, юйвыд"	вспоминать	
1981	"юкрд, ғырд"	удлинять	
1982	юкт	"1) проливать, разливать; 2) просыпать, рассыпать"	
1983	юкуд	"счищать, очищать "	
1984	юлид	вязать	
1985	юлмид 	"подрубать, подшивать "	
1986	юпкаӈ	юбка	
1987	юпма	связка юколы 	
1988	юпр̆	"1) связка; 2) упаковка; 3) повязка, бинт"	
1989	юпт	"1) завязывать, стягивать, туго пере­тягивать; 2) бинтовать"	
1990	юпуд	"макать, окунать, опускать (в жидкость)"	
1991	юрд	идти	
1992	"юру, к’и "	самострел	
1993	юруд	читать	
1994	юрутуд	"вести счёт, подсчитывать, счи­тать"	
1995	юр̆куд	"таскать, перетаскивать, перено­сить"	
1996	"юскид, юскинд"	"заплатить, платить"	
1997	ютид	"1) поместить, всунуть; 2) посадить, сажать; 3) арестовать"	
1998	ютуд	"1) копить; собирать; 2) беречь, экономить"	
1999	явӻд	"1) КЛеИТЬ, наклеивать, Приклеи­вать; 2) соединять, скреплять"	
2000	явд	"подкарауливать, подстерегать"	
2001	явид	"бурлить, клокотать (о реке при быстром течении)"	
2002	яғағд	"мешать, надоедать "	
2003	яғд I	"1) поить; 2) поливать, орошать"	
2004	яғд II 	"пришивать, нанизывать (пугови­цы, бусинки, что-л.)"	
2005	"яғзуӻард, яғзуд"	"1) не знать; 2) не мочь, не уметь"	
2006	Яӻнид	"хотеть, желать "	
2007	яд	измерять ручными четвертями 	
2008	язд I 	"вцепиться (впиться зубами, ухва­тить пастью)"	
2009	язд II 	"пришить, надставить клин"	
2010	язд III 	"пришить, надставить клин"	
2011	язруд	"опасаться, остерегаться, настора­живаться"	
2012	яйӻод	спать (с кем-л.) 	
2013	"яйд, латт, латнд"	"1) делать, производить; 2) совершать, исполнять; 3) строить, сооружать, воздвигать"	
2014	"яймд, яймнд"	1) знать; 2) понимать; 3) уметь	
2015	якзд	цепляться (за что-л.) 	
2016	якрд	не верить 	
2017	якт	оставать (до кого-л.) 	
2018	яӄнар̆	наверное	
2019	яӄт	"резать, нарезать "	
2020	ялалтуд	"уговаривать, успокаивать"	
2021	ялғд I	"открывать, раскрывать "	
2022	ялғд II	"выпытывать, выведывать, отгадывать"	
2023	ялд	"догонять, настигать"	
2024	ялид	"не смочь, не осилить, не закончить"	
2025	ялмд	"переступать, перешагивать "	
2026	ямзд	"смочь, суметь, успеть закончить раньше времени"	
2027	ямруд	презирать	
2028	ямсӄт 	" 1. 1) распаковать, развернуть, ра­скрыть; 2) разжать; 2. 1) распакован­ный, развёрнутый, раскрытый; 2) раз­жатый "	
2029	ямуд	размягчать 	
2030	ямхтад	"хвалить, выражать одобрение"	
2031	янд	1. нанаец; 2. нанайский 	
2032	"янкед, янкид "	опережать	
2033	янр̆	"зачем, почему, отчего "	why
2034	"яӈрд, фыскыд"	"удивляться, изумляться, поражаться"	
2035	"яӈрла, фыс­КЫЛа"	"удивительный, изумительный, поразительный"	
2036	яӈуд	избивать	
2037	ярд	1) кормить; 2) удобрять 	
2038	ярид	"1) отставать (от кого-л.); 2) идти сзади (кого-л.), следовать (за кем-л.)"	
2039	яр̆кт I	запирать	
2040	яр̆кт II	оспаривать	
2041	"яр̆пт, яр̆пнт"	1) закрывать; 2) затыкать; заделывать	
2042	"яскмд, рауд"	"1) объяснять, разъяснять, растолковывать; 2) наставлять, по­учать; 3) держать собаку на поводке"	
2043	"ясӄамд, ясӄмд"	"1) отнимать, отбирать; 2) вычитать"	
2044	"ясӄнивӈ, ХИТУК"	ЗаКрОЙЩИК	
2045	"ясӄт, хитуд"	"кроить, раскраивать, выкраивать"	
2046	Ятӈуд	"ОХраНЯТЬ, СТОРОЖИТЬ, караулить"	
2047	ятуд	укрывать	
2048	"ятьӻад, вағрд"	стыдиться	to be ashamed of
2049	ятьт	подозревать	suspect (smb. of smth.)
2050	яфр̆кт	"1) чистить дичь (от пера, пуха); 2) очищать орехи"	
2051	яфтт	"терпеть, безропотно переносить (что-л.)"	
2052	яӽтт	"1) доверять, верить (кому-л., во что-л.); 2) надеяться (на кого-л.)"	
